apogee_id,telescope,field,teff,logg,fe_h
2M03294681+4521083,apo25m,150-08-RV,3969.39,1.084084,-0.47689
2M03294681+4521083,apo25m,150-08-RV,3973.491,1.089559,-0.47719
2M06240203-7011125,lco25m,LMC17,6329.215,3.956875,-0.059926
2M03312204+4557144,apo25m,150-08-RV,4150.727,1.432676,-0.30766
2M03312204+4557144,apo25m,150-08-RV,4151.928,1.454711,-0.31775
2M12582683+5822253,apo25m,120+60,6311.335,3.878147,-0.13832
2M03375720+4615331,apo25m,150-08-RV,3829.185,0.8749961,-0.35046
2M03375720+4615331,apo25m,150-08-RV,3823.286,0.8794165,-0.34153
2M16150725+2431363,apo25m,040+45,6340.533,4.044381,0.18117
2M16150725+2431363,apo25m,040+45,6331.407,4.004133,0.1573
2M16150725+2431363,apo25m,040+45,6336.13,3.994402,0.17762
2M16150725+2431363,apo25m,040+45,6357.341,4.016565,0.18726
2M08500587+1157508,lco25m,M67-S,4619.145,2.427734,-0.2055
2M08500587+1157508,lco25m,M67-S,4652.179,2.603225,-0.21645
2M08500587+1157508,lco25m,M67-S,4634.413,2.55247,-0.20887
2M08500587+1157508,lco25m,M67-S,4621.874,2.572724,-0.20961
2M00554526+8512209,apo25m,N188,4222.962,1.532306,-0.42023
2M00554526+8512209,apo25m,N188,4223.036,1.548486,-0.42529
2M15214577+6603249,apo25m,URMINOR,6321.964,4.232708,-0.039583
2M10280390+1405522,apo25m,ORPHAN-2,6098.712,3.656682,-0.084008
2M00293594+5518259,apo25m,120-08-RV,4096.364,1.30874,-0.203
2M00293594+5518259,apo25m,120-08-RV,4096.732,1.346559,-0.20697
2M00293594+5518259,apo25m,120-08-RV,4097.28,1.354627,-0.21593
2M03380104+4603136,apo25m,150-08-RV,4493.383,1.969774,-0.15181
2M03380104+4603136,apo25m,150-08-RV,4491.788,2.017141,-0.14479
2M23594448-7220163,lco25m,SMC12,4632.443,2.328025,-0.40001
2M11461440+0132325,apo25m,270+60,5979.554,3.776978,-0.076179
2M00375194+5552145,apo25m,120-08-RV,3885.626,1.151327,-0.079686
2M00375194+5552145,apo25m,120-08-RV,3885.79,1.131871,-0.066212
2M00375194+5552145,apo25m,120-08-RV,3908.919,1.332588,-0.068534
2M12052515+1717216,apo25m,N4147,6285.524,3.941086,-0.16916
2M12052515+1717216,apo25m,N4147,6371.037,4.001381,-0.1278
2M10511340-0421198,apo25m,ORPHAN-1,6040.56,3.663788,-0.16742
2M12502242+1226133,apo25m,300+75,6252.137,4.149449,0.07389
2M12502242+1226133,apo25m,300+75,6272.734,4.164147,0.093223
2M08512156+1146061,lco25m,M67-S,4795.27,2.878495,0.043444
2M08512156+1146061,lco25m,M67-S,4778.708,2.790365,0.030423
2M08512156+1146061,lco25m,M67-S,4773.608,2.78677,0.038693
2M08512156+1146061,lco25m,M67-S,4770.421,2.716233,0.050555
2M08512156+1146061,lco25m,M67-S,4775.141,2.804204,0.033509
2M09153632+2212581,apo25m,GD1-3,4506.39,1.938694,-0.50846
2M05170018+2358099,apo25m,180-08-RV,5002.674,2.887919,0.057708
2M05170018+2358099,apo25m,180-08-RV,4987.418,2.803577,0.043269
2M01000342+8452559,apo25m,N188,4156.161,1.539352,-0.22601
2M01000342+8452559,apo25m,N188,4155.862,1.523981,-0.23
2M06480297-0333011,apo25m,COROTA2-RV,3924.628,0.9092562,-0.51765
2M06480297-0333011,apo25m,COROTA2-RV,3917.729,0.9077701,-0.53599
2M00271792+5419161,apo25m,120-08-RV,4102.828,1.537955,-0.044306
2M00271792+5419161,apo25m,120-08-RV,4101.114,1.551704,-0.038671
2M19475229+4055363,apo25m,K19_076+07_btx,4259.646,1.690135,-0.32335
2M19475229+4055363,apo25m,K19_076+07_btx,4263.354,1.667974,-0.33475
2M05133172+2529118,apo25m,180-08-RV,4560.381,2.012136,-0.053863
2M05133172+2529118,apo25m,180-08-RV,4564.376,2.069848,-0.06593
2M13475642-0535526,apo25m,K2EB_C06_327+54_btx,4992.424,3.150261,-0.30752
2M01240544+8555173,apo25m,N188-RV,4796.107,2.642047,-0.333
2M01240544+8555173,apo25m,N188-RV,4796.774,2.704208,-0.33
2M08514507+1147459,lco25m,M67-S,4799.631,2.892281,-0.0006153597
2M08514507+1147459,lco25m,M67-S,4799.56,2.822012,0.0001697501
2M08514507+1147459,lco25m,M67-S,4817.433,2.843953,-0.0011809
2M08514507+1147459,lco25m,M67-S,4809.399,2.839916,0.0022311
2M10161804-0119483,lco25m,SEXTANS,4644.252,2.434125,0.11037
2M10161804-0119483,lco25m,SEXTANS,4628.428,2.375693,0.11254
2M09303693+4752127,apo25m,ORPHAN-5,6211.435,3.874936,-0.11473
2M23582699-7321244,lco25m,SMC12,3748.363,0.8017786,-0.67386
2M00321860+5542056,apo25m,120-08-RV,4459.878,2.101082,0.066047
2M00321860+5542056,apo25m,120-08-RV,4460.532,2.060316,0.070447
2M01200992+8445276,apo25m,N188-RV,5035.666,2.783018,-0.053028
2M01200992+8445276,apo25m,N188-RV,5047.889,2.817592,-0.045644
2M05104681+2503142,apo25m,180-08-RV,3793.525,0.7914195,-0.40741
2M05104681+2503142,apo25m,180-08-RV,3780.885,0.7807271,-0.42013
2M06470897-0430161,apo25m,COROTA2-RV,4270.238,1.51292,-0.2026
2M06470897-0430161,apo25m,COROTA2-RV,4269.177,1.508789,-0.20342
2M14484064-0706253,apo25m,PAL5-1,6580.065,4.286665,-0.10379
2M00241727+5342442,apo25m,120-08-RV,4497.672,2.247285,-0.1524
2M00241727+5342442,apo25m,120-08-RV,4500.073,2.305,-0.15487
2M03291918+4606508,apo25m,150-08-RV,4608.86,2.528472,0.22366
2M03291918+4606508,apo25m,150-08-RV,4605.803,2.542437,0.22244
2M14280038+5706510,apo25m,GD1-5,6164.669,3.86402,0.070844
2M14280038+5706510,apo25m,GD1-5,6183.695,3.85816,0.076982
2M00312513+5421353,apo25m,120-08-RV,4660.889,2.281929,-0.23777
2M00312513+5421353,apo25m,120-08-RV,4654.928,2.206807,-0.23561
2M11055452+1224256,apo25m,240+60,6438.795,4.202994,0.12811
2M00573856-6516379,lco25m,SMC9,4791.696,2.733724,-0.24056
2M12215616+2718342,apo25m,221+84,6236.38,4.334812,-0.077
2M03320573+4727337,apo25m,150-08-RV,4485.417,2.172787,0.055103
2M03320573+4727337,apo25m,150-08-RV,4490.475,2.184031,0.075208
2M00271010+5432361,apo25m,120-08-RV,4858.74,2.273878,-0.30331
2M00271010+5432361,apo25m,120-08-RV,4863.502,2.26487,-0.29375
2M16084953+5051268,apo25m,080+45,6313.763,4.320599,0.22466
2M16084953+5051268,apo25m,080+45,6279.224,4.281082,0.20322
2M16084953+5051268,apo25m,080+45,6285.407,4.275837,0.20802
2M06211992-7507409,lco25m,LMC16,6056.913,4.032627,0.04606
2M03364970+4724155,apo25m,150-08-RV,4820.203,2.463409,-0.084591
2M03364970+4724155,apo25m,150-08-RV,4826.95,2.521219,-0.097636
2M14503417+8529473,apo25m,120+30,6113.319,4.063114,-0.044796
2M15321526+8514275,apo25m,120+30,6028.186,4.195357,0.066772
2M14344048+5756219,apo25m,GD1-5,6242.011,4.078674,0.25752
2M17143972-2407304,apo25m,000+08,4227.323,1.51143,-0.46037
2M17143972-2407304,apo25m,000+08,4219.419,1.476698,-0.44592
2M17114099+4356483,apo25m,M92,6217.652,4.033849,0.10688
2M17114099+4356483,apo25m,M92,6215.585,4.1131,0.086701
2M09542103+3854444,apo25m,ORPHAN-4,6038.541,4.01157,-0.024385
2M05152946+2459485,apo25m,180-08-RV,4913.541,2.405797,-0.43408
2M05152946+2459485,apo25m,180-08-RV,4919.103,2.428077,-0.44113
2M05130342+2423489,apo25m,180-08,6385.777,4.399082,0.12639
2M05130342+2423489,apo25m,180-08,6239.483,4.226036,0.086709
2M10570682+4841509,apo25m,GD1-4,6106.33,3.900062,-0.24735
2M10570682+4841509,apo25m,GD1-4,6176.089,4.013681,-0.22192
2M03354643+4524004,apo25m,150-08-RV,4799.667,2.295922,-0.32774
2M03354643+4524004,apo25m,150-08-RV,4805.609,2.306743,-0.32489
2M00080678+0057034,apo25m,100-60,4215.094,2.01345,0.19979
2M08514577+1217052,lco25m,M67-S,4892.9,2.422996,-0.31064
2M08514577+1217052,lco25m,M67-S,4884.123,2.445138,-0.33517
2M08514577+1217052,lco25m,M67-S,4883.845,2.41258,-0.32014
2M08514577+1217052,lco25m,M67-S,4878.886,2.484387,-0.32789
2M15145975+0005386,apo25m,M5PAL5,5995.402,4.217864,-0.25242
2M02185168-0727290,lco25m,173-61,6434.135,4.216915,-0.08664
2M05113970+2512203,apo25m,180-08-RV,5046.479,2.778441,-0.0137
2M05113970+2512203,apo25m,180-08-RV,5030.126,2.688729,-0.0050347
2M08514234+1150076,lco25m,M67-S,4807.543,2.87513,0.019644
2M08514234+1150076,lco25m,M67-S,4811.835,2.943245,0.015935
2M08514234+1150076,lco25m,M67-S,4809.084,2.925025,0.020926
2M08514234+1150076,lco25m,M67-S,4816.823,2.906211,0.019122
2M09475814+3735427,apo25m,ORPHAN-4,6476.294,4.128093,-0.1592
2M00505932+8438080,apo25m,N188,6215.432,4.036911,0.1962
2M00505932+8438080,apo25m,N188,6226.757,4.043987,0.19733
2M00374214+5423531,apo25m,120-08-RV,4484.418,1.737924,-0.37356
2M00374214+5423531,apo25m,120-08-RV,4500.494,1.737987,-0.38491
2M01292765+3053403,apo25m,M33,6123.752,4.014402,-0.02847
2M01292747+8552276,apo25m,N188-RV,4152.652,1.431232,-0.42614
2M01292747+8552276,apo25m,N188-RV,4150.509,1.412461,-0.41233
2M01433043-7731474,lco25m,SMC8,3740.505,0.6229523,-0.50535
2M01354143+3144526,apo25m,M33,6252.159,3.908976,-0.23896
2M13102172+5725336,apo25m,120+60,6126.17,3.535902,-0.14905
2M17143972-2407304,lco25m,000+08-S,4227.323,1.51143,-0.46037
2M17143972-2407304,lco25m,000+08-S,4219.419,1.476698,-0.44592
2M16571775+8650406,apo25m,120+30,6485.607,4.137713,-0.092265
2M16075993+5219459,apo25m,080+45,6297.582,3.799805,-0.10677
2M16075993+5219459,apo25m,080+45,6309.702,3.742598,-0.10238
2M09121406+2248090,apo25m,GD1-3,6204.897,4.167879,0.22765
2M16411928+4727541,apo25m,N6229,6098.57,4.316227,-0.064531
2M11471592-0009325,apo25m,270+60,5891.16,3.988781,-0.078181
2M11471592-0009325,apo25m,270+60,5895.427,3.929722,-0.079474
2M13414696-1648269,lco25m,320+45,6578.705,4.195998,-0.042858
2M13414696-1648269,lco25m,320+45,6491.476,3.904226,-0.066947
2M05244574-2437297,lco25m,M79,4356.536,2.087949,0.023417
2M03341339+8042195,apo25m,PAL1,6331.379,4.316376,-0.088785
2M18035448-0915104,apo25m,020+06,6285.119,4.295873,0.10626
2M19571717+4015552,apo25m,K19_076+07_btx,3574.525,0.8457305,0.084441
2M19571717+4015552,apo25m,K19_076+07_btx,3575.33,0.8431228,0.069971
2M04083348-7138235,lco25m,LMC1,6106.508,4.108744,-0.47341
2M10404240+2322236,apo25m,210+60,6232.029,3.935677,-0.31448
2M15231676+0702463,apo25m,011+47_btx,4846.311,2.435857,-0.25891
2M05193352+2405259,apo25m,180-08-RV,4697.959,2.715884,0.30238
2M05193352+2405259,apo25m,180-08-RV,4691.569,2.70425,0.30703
2M13031670+5718549,apo25m,120+60,6100.173,4.385153,0.072
2M00493469+8547296,apo25m,N188,4933.574,2.442595,-0.35724
2M00493469+8547296,apo25m,N188,4935.205,2.478291,-0.36154
2M17281619-2057493,lco25m,005+08,6281.054,4.273278,-0.096982
2M05330819-5450053,lco25m,264-33-C,4898.685,2.463975,-0.4031
2M05133965+2539443,apo25m,180-08-RV,5017.989,2.939126,-0.076377
2M05133965+2539443,apo25m,180-08-RV,5007.793,2.880075,-0.065318
2M00375442-6756489,lco25m,SMC2,6408.932,4.091436,-0.24431
2M13402522-0514427,apo25m,K2EB_C06_327+54_btx,6097.191,3.693959,-0.14525
2M12504184+1241127,apo25m,300+75,6305.273,4.108606,-0.2608
2M12504184+1241127,apo25m,300+75,6253.237,3.860993,-0.27322
2M14204282+5710523,apo25m,099+56_btx,5973.659,4.107502,0.10015
2M07552556+2623302,apo25m,194+24_MGA,4617.958,2.504973,-0.24725
2M05390552-0553511,apo25m,ORIONB-RV_btx,6314.464,4.224754,-0.018866
2M05390552-0553511,apo25m,ORIONB-RV_btx,6398.368,4.214809,0.02168
2M05390552-0553511,apo25m,ORIONB-RV_btx,6357.594,4.311041,0.010575
2M05343957-0707313,apo25m,ORIONB-RV_btx,3965.527,1.010219,-0.44507
2M05203503+2406332,apo25m,SGRT-1,6158.243,4.348326,-0.0011404
2M09183712+2133202,apo25m,GD1-3,6375.718,4.071502,-0.01842
2M03401551+4612451,apo25m,150-08-RV,4562.694,2.489769,0.10473
2M03401551+4612451,apo25m,150-08-RV,4555.04,2.48291,0.098097
2M03392877+4628415,apo25m,150-08-RV,3942.771,1.267467,-0.044477
2M03392877+4628415,apo25m,150-08-RV,3945.762,1.280843,-0.051629
2M09163197+2103297,apo25m,GD1-3,5921.463,4.02223,0.13
2M00581221+8435283,apo25m,N188-RV,4445.986,1.564963,-0.48918
2M00581221+8435283,apo25m,N188-RV,4440.378,1.572088,-0.4997
2M00581221+8435283,apo25m,N188-RV,4442.039,1.579112,-0.48349
2M03293709+4550055,apo25m,150-08-RV,3929.535,0.8961624,-0.65045
2M03293709+4550055,apo25m,150-08-RV,3932.346,0.8824219,-0.65059
