filename,fits_file,hip,instrument,url,status
HIP115227_NARVAL_1_R42KNorm.fits.gz,HIP115227_NARVAL_1_R42KNorm.fits,HIP115227,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP115227_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP115227_UVES_1_R42KNorm.fits.gz,HIP115227_UVES_1_R42KNorm.fits,HIP115227,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP115227_UVES_1_R42KNorm.fits.gz,downloaded
HIP115620_HARPS_1_R42KNorm.fits.gz,HIP115620_HARPS_1_R42KNorm.fits,HIP115620,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP115620_HARPS_1_R42KNorm.fits.gz,downloaded
HIP115949_NARVAL_1_R42KNorm.fits.gz,HIP115949_NARVAL_1_R42KNorm.fits,HIP115949,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP115949_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP116771_ESPADONS_1_R42KNorm.fits.gz,HIP116771_ESPADONS_1_R42KNorm.fits,HIP116771,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP116771_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP116771_FEROS_1_R42KNorm.fits.gz,HIP116771_FEROS_1_R42KNorm.fits,HIP116771,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP116771_FEROS_1_R42KNorm.fits.gz,downloaded
HIP116771_HARPS_1_R42KNorm.fits.gz,HIP116771_HARPS_1_R42KNorm.fits,HIP116771,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP116771_HARPS_1_R42KNorm.fits.gz,downloaded
HIP116771_NARVAL_1_R42KNorm.fits.gz,HIP116771_NARVAL_1_R42KNorm.fits,HIP116771,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP116771_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP12114_ESPADONS_1_R42KNorm.fits.gz,HIP12114_ESPADONS_1_R42KNorm.fits,HIP12114,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12114_ESPADONS_1_R42KNorm.fits.gz,downloaded
HIP12114_FEROS_1_R42KNorm.fits.gz,HIP12114_FEROS_1_R42KNorm.fits,HIP12114,FEROS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12114_FEROS_1_R42KNorm.fits.gz,downloaded
HIP12114_HARPS_1_R42KNorm.fits.gz,HIP12114_HARPS_1_R42KNorm.fits,HIP12114,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12114_HARPS_1_R42KNorm.fits.gz,downloaded
HIP12114_NARVAL_1_R42KNorm.fits.gz,HIP12114_NARVAL_1_R42KNorm.fits,HIP12114,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12114_NARVAL_1_R42KNorm.fits.gz,downloaded
