sobject_id,teff,logg,fe_h,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4
170507008301174,6318.742,4.042522,-0.14303365,105.47629,131.02922,152.17178,143.0495
151230002201141,4773.325,4.5987983,0.0040543154,105.47126,156.48854,197.48286,192.18954
150428000101279,5152.4375,3.5534148,-0.10895414,105.46951,141.31071,192.54564,168.69258
191106003301310,4097.8926,1.3142602,-0.49046952,105.4647,169.12764,265.67294,225.14696
171230004601053,6389.741,4.025597,-0.13152602,105.462746,132.68869,157.51047,125.42454
170205003401094,6577.338,3.9823627,-0.28119558,105.45985,121.014,135.28394,110.22704
220714004901162,6446.0874,3.953362,-0.28413746,105.458755,136.41832,165.64493,129.8438
190210004001175,4578.8037,2.6072457,0.07042515,105.45372,163.3898,247.33302,208.40938
200826001201022,6166.944,4.0335083,-0.22515365,105.45019,138.92921,161.21397,133.99635
170907001601064,5674.915,4.491764,0.13741118,105.449104,145.07953,186.95915,164.08904
150830006601296,6169.5894,3.7685027,-0.06611275,105.44842,134.39783,174.3869,143.68387
220216002601121,5864.3906,4.096544,-0.11357478,105.44611,150.50589,192.16592,164.75804
170109004301374,6246.0576,3.87725,-0.015261158,105.44029,128.488,153.92836,134.51738
160523005801109,4693.208,2.4452553,0.027925406,105.43279,158.7763,210.04373,204.32512
151110004701151,6102.3345,3.8903627,-0.14255124,105.43172,132.17648,151.65378,141.27052
160524006601338,5834.409,4.165413,-0.11796785,105.42973,139.02553,179.45204,149.69139
170113002601374,4942.1284,2.9605522,-0.18196058,105.4293,142.74956,205.11237,174.80818
170509002701048,6123.4814,4.3076477,-0.2698899,105.428734,112.712036,125.32684,94.59373
160402003601264,6328.8853,4.0479407,-0.18625882,105.42649,132.30542,164.17856,139.88365
161106002101016,5744.7417,3.9424279,0.13883603,105.42182,136.08702,179.90855,163.46112
150401004101207,4705.712,2.404961,-0.2091155,105.41871,152.94167,207.99901,193.43614
171031003301112,4573.004,2.6117997,0.23953333,105.41776,166.3202,235.553,229.03447
200824000101152,5104.3833,2.9107573,-0.037269585,105.41586,170.63637,241.90553,220.55992
171206004601162,6005.364,3.1257093,-1.2356493,105.414375,146.8147,181.4162,170.52402
170507009501394,4809.867,2.4546247,-0.0095587745,105.41219,179.79776,297.03006,285.07883
230801003301378,5857.652,4.2167854,-0.062877275,105.41123,151.27953,232.47595,145.71803
160814000101106,5470.912,4.499463,-0.011999197,105.40307,137.72723,177.30367,155.66539
161212002101207,5969.9307,4.0156307,0.1460287,105.39235,124.64343,149.52376,129.49388
150106003201274,6477.13,4.0524254,-0.11093358,105.390564,123.2489,151.21011,130.47601
170603006601113,5031.7056,2.9161754,0.06063923,105.37531,152.60283,204.61507,194.26382
230803003301354,4367.2593,1.9056157,-0.12234489,105.37113,179.62556,295.28256,240.04425
161107004401312,4912.847,2.502642,-0.28723562,105.37009,174.94313,266.49915,249.02866
170514002401359,5267.5273,2.694658,0.09756054,105.36629,137.26828,181.36377,149.34256
